Present_Price,Kms_Driven,Owner,Car_age,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual
11.6,33988,0,5,1,0,0,1
1.5,6900,0,10,0,1,1,1
7.0,36054,0,7,0,1,0,1
30.61,40000,0,6,1,0,0,0
1.5,15000,0,8,0,1,1,1
7.98,62000,0,18,0,1,0,1
0.52,22000,0,11,0,1,1,0
1.47,33000,0,8,0,1,1,1
1.17,6000,0,5,0,1,1,1
4.43,12500,0,5,0,1,0,1
0.54,500,0,5,0,1,1,0
8.12,18796,0,6,0,1,0,1
0.58,30000,0,8,0,1,1,1
0.99,45000,0,8,0,1,1,1
5.71,2400,0,4,0,1,0,1
5.7,53000,0,8,1,0,0,1
8.92,42367,0,6,1,0,0,1
0.55,31000,0,5,0,1,1,1
0.95,27000,0,11,0,1,1,1
5.7,21125,0,6,1,0,0,1
30.61,104707,0,9,1,0,0,0
0.75,60000,0,13,0,1,1,1
0.52,500000,0,13,0,1,1,0
13.6,40324,0,6,0,1,0,1
0.84,58000,0,6,0,1,1,1
7.5,61203,0,11,0,1,0,1
4.6,30000,0,8,0,1,0,1
0.826,6000,0,10,0,1,1,1
9.4,36198,0,8,0,1,0,0
1.78,4000,0,4,0,1,1,1
13.6,34000,0,6,0,1,0,1
9.95,45000,0,7,1,0,0,1
14.68,72000,0,8,0,1,0,1
1.9,5400,0,8,0,1,1,1
1.47,17000,0,6,0,1,1,1
18.61,72000,0,9,0,1,0,1
13.46,197176,0,16,1,0,0,1
0.83,5500,0,9,0,1,1,1
22.78,89000,0,13,0,1,0,0
5.7,20114,0,4,0,1,0,1
3.76,10079,0,5,0,1,0,1
12.48,45000,0,10,1,0,0,1
9.83,2071,0,3,1,0,0,1
7.2,48767,0,6,0,1,0,1
8.06,45780,0,7,1,0,0,1
0.51,60000,0,9,0,1,1,1
1.05,30000,0,10,0,1,1,1
6.8,16500,0,7,0,1,0,1
7.13,35866,1,6,0,1,0,1
0.57,18000,0,8,0,1,1,1
9.4,36100,0,9,0,1,0,1
0.87,15000,0,5,0,1,1,1
5.7,34797,0,6,0,1,0,0
13.6,22671,0,5,0,1,0,1
7.6,7000,0,5,0,1,0,1
6.76,71000,0,7,1,0,0,1
0.82,18000,0,6,0,1,1,1
13.6,29223,0,5,0,1,0,1
4.43,28282,0,6,0,1,0,1
0.58,1900,0,13,0,1,1,0
5.97,5600,0,5,0,1,0,1
5.59,27000,0,7,0,1,0,1
22.83,80000,0,11,0,1,0,0
5.8,19000,0,4,0,1,0,1
7.6,50456,0,15,0,1,0,1
9.4,36000,0,9,0,1,0,1
8.4,4000,0,5,0,1,0,1
14.79,12900,0,6,0,1,0,0
0.52,19000,0,7,0,1,1,0
13.74,88000,0,10,0,1,0,1
5.9,60000,0,6,0,1,0,1
10.79,43000,0,5,1,0,0,1
5.98,51439,0,9,1,0,0,1
3.45,16500,1,7,0,1,1,1
7.71,26000,0,6,0,1,0,1
18.61,56001,0,8,0,1,0,1
5.7,28200,0,6,0,1,0,1
0.75,49000,1,14,0,1,1,1
0.64,13700,0,7,0,1,1,1
0.81,42000,0,7,0,1,1,1
9.4,60241,0,8,0,1,0,1
0.48,50000,0,5,0,1,1,1
35.96,47000,0,6,1,0,0,0
2.37,21700,0,6,0,1,1,1
9.85,6900,0,4,0,1,0,1
9.9,56701,0,8,0,1,0,1
0.47,21000,0,8,0,1,1,1
10.0,69341,0,10,0,1,0,1
0.65,24000,1,8,0,1,1,1
9.29,37000,0,4,0,1,0,0
0.74,5000,0,6,0,1,1,1
16.09,58242,0,7,1,0,0,1
6.87,42450,0,7,1,0,0,1
1.9,3000,0,5,0,1,1,1
14.79,43535,0,6,1,0,0,1
9.4,71000,0,9,1,0,0,1
0.8,20000,0,5,0,1,1,1
0.51,4300,0,4,0,1,1,0
92.6,78000,0,11,1,0,0,1
30.61,40000,0,6,1,0,0,0
0.787,16000,0,8,0,1,1,1
6.8,39485,1,7,0,1,0,1
9.4,60000,0,9,1,0,0,1
0.84,25000,0,5,0,1,1,1
12.5,9000,0,4,1,0,0,1
9.4,32322,0,9,1,0,0,1
6.4,19000,0,7,0,1,0,1
7.21,77427,0,12,0,1,0,1
5.7,24678,0,6,0,1,0,1
23.15,11000,0,4,0,1,0,0
30.61,135000,0,8,1,0,1,0
30.61,89000,0,9,1,0,0,0
5.9,14465,0,6,0,1,0,1
8.89,20273,0,5,1,0,0,1
